freq,unit,age,sex,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,NR,TOTAL,T,IE	3506970 	3520977 	3547492 	3569367 	3583154 	3597617 	3620065 	3654955 	3693386 	3732006 	3777565 	3832783 	3899702 	3964191 	4028851 	4111672 	4208156 	4340118 	4457765 	4521322 	4549428 	4570881 	4589287 	4609779 	4637852 	4677627 	4726286 	4784383 	4830392 	4904240 e	4964440 	5006324 	5060004 
A,NR,TOTAL,T,IS	253785 	255866 	259727 	262386 	265064 	266978 	267958 	269874 	272381 	275712 	279049 	283361 	286575 	288471 	290570 	293577 	299891 	307672 	315459 	319368 	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 	364134 	368792 	376248 
A,NR,TOTAL,T,IT	56694360 	56744119 	56772923 	56821250 	56842392 	56844408 	56844197 	56876364 	56904379 	56909109 	56923524 	56960692 	56987507 	57130506 	57495900 	57874753 	58064214 	58223744 	58652875 	59000586 	59190143 	59364690 	59394207 	59685227 	60782668 	60795612 	60665551 	60589445 	60483973 	59816673 b	59641488 	59236213 	59030133 
A,NR,TOTAL,T,LI	28452 	29032 	29386 	29868 	30310 	30629 	30923 	31143 	31320 	32015 	32426 	32863 	33525 	33863 	34294 	34600 	34905 	35168 	35356 	35589 	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 	38114 	38378 	38747 	39055 	39308 
A,NR,TOTAL,T,LT	3693708 	3701968 	3706299 	3693929 	3671296 	3642991 	3615212 	3588013 	3562261 	3536401 	3512074 	3486998 	3454637 	3431497 	3398929 	3355220 	3289835 	3249983 	3212605 	3183856 	3141976 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 	2808901 	2794184 	2794090 	2795680 	2805998 
A,NR,TOTAL,T,LU	379300 	384400 	389600 	394750 	400200 	405650 	411600 	416850 	422050 	427350 	433600 	439000 	444050 	448300 	454960 	461230 	469086 	476187 	483799 	493500 	502066 	511840 	524853 b	537039 	549680 	562958 	576249 	590667 b	602005 	613894 	626108 	634730 	645397 
A,NR,TOTAL,T,LV	2668140 	2658161 	2643000 	2585675 	2540904 	2500580 	2469531 	2444912 	2420789 	2399248 	2381715 	2353384 	2320956 	2299390 	2276520 	2249724 	2227874 	2208840 	2191810 	2162834 	2120504 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	1919968 	1907675 	1893223 	1875757 
A,NR,TOTAL,T,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32828 	33085 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,T,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3644070 	3635112 	3627812 	3618312 	3607435 	3600436 	3589936 	3581110 	3572703 	3567512 	3563695 	3560430 	3559541 	3559497 	3557634 	3555159 	: 	3550852 	: 	: 	: 	2597107 p	: 
A,NR,TOTAL,T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	603152 	605988 	608460 	610510 	612214 	613420 	613109 	614624 	615543 	617157 	619001 	619850 	620308 	620893 	621521 	622099 	622218 	622387 	622359 	622182 	621873 	620739 	617683 
