unit,airpol,src_nfr,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
T,NH3,NFR3_AGR,DK	72959 	71633 	75858 	76803 	74540 	73955 	72782 	72452 	74745 	76070 	79105 	77968 	81942 	82443 	83717 	87193 	90646 	91290 	92914 	95517 	98732 	101573 	107380 	107596 	108961 	113944 	121341 	126127 	129613 	133514 	138934 
T,NH3,NFR3_AGR,EE	8712 	9069 	9122 	9402 	9485 	9880 	9932 	9730 	9651 	9554 	9586 	8914 	9438 	9011 	9462 	8753 	8259 	7962 	7350 	7720 	7431 	7016 	7985 	7819 	7591 	8751 	10246 	10950 	14965 	17299 	19087 
T,NH3,NFR3_AGR,EL	58434 	57568 	57640 	57976 	58528 	58351 	59685 	62935 	62104 	62956 	66103 	61070 	65913 	68921 	67867 	69002 	71157 	70079 	70437 	70751 	72161 	73938 	75012 	75425 	76424 	76127 	72553 	76671 	82569 	85327 	85914 
T,NH3,NFR3_AGR,ES	464941 	451025 	454767 	455616 	437320 	432113 	424180 	403305 	399255 	402031 	413444 	414684 	415496 	457605 	448948 	452946 	483884 	486389 	475778 	486526 	489568 	465316 	464120 	438522 	437157 	396495 	405157 	390092 	411997 	414820 	426032 
T,NH3,NFR3_AGR,EU27_2020	3229673 	3252266 	3326533 	3361513 	3345530 	3330965 	3293077 	3260401 	3268164 	3272912 	3296778 	3329355 	3393520 	3478902 	3447808 	3464369 	3499780 	3549709 	3580514 	3635667 	3668154 	3748593 	3777523 	3774876 	3799079 	3777267 	3854051 	3965515 	4126063 	4347966 	4605492 
T,NH3,NFR3_AGR,FI	27552 	28874 	29333 	29661 	30554 	30842 	32273 	31842 	32300 	32387 	33272 	32777 	32313 	32841 	33035 	33438 	32771 	32713 	31932 	31242 	31071 	30988 	31390 	32033 	31110 	30688 	30838 	30130 	29705 	30685 	32628 
T,NH3,NFR3_AGR,FR	534227 	555936 	568194 	573380 	576591 	578647 	573884 	565428 	570700 	572774 	578230 	577182 	585640 	581010 	574306 	580584 	584631 	591858 	602124 	615378 	620768 	611069 	610839 	609373 	611774 	609307 	605469 	608918 	612688 	623928 	627897 
T,NH3,NFR3_AGR,HR	26073 	25862 	26566 	26137 	23233 	24736 	22927 	23642 	29173 	30778 	29300 	27863 	36226 	33028 	33041 	32224 	33833 	32651 	33341 	34855 	31519 	31174 	27994 	32534 	30177 	30269 	32410 	33464 	36406 	41814 	41820 
T,NH3,NFR3_AGR,HU	68882 	68144 	67578 	67890 	67198 	66647 	63263 	61900 	60454 	61696 	61873 	61788 	65560 	71753 	72338 	73004 	77702 	80005 	79883 	78123 	79218 	77213 	75386 	72612 	73777 	74596 	73064 	77862 	88485 	104392 	125556 
T,NH3,NFR3_AGR,IE	122682 	124551 	134367 	127663 	123730 	118360 	112968 	116540 	115602 	108783 	113006 	114661 	114232 	112137 	118726 	116896 	115743 	118383 	118240 	117781 	117868 	123693 	126181 	121886 	118974 	114880 	114248 	113288 	113978 	111242 	109247 
T,NH3,NFR3_AGR,IS	4342 	4412 	4487 	4648 	4698 	4644 	4621 	4293 	4404 	4505 	4441 	4563 	4545 	4549 	4418 	4288 	4224 	4275 	4320 	4425 	4457 	4570 	4556 	4454 	4501 	4427 	4543 	4556 	4544 	4754 	4878 
T,NH3,NFR3_AGR,IT	344986 	330376 	330376 	339837 	346600 	334550 	334011 	345072 	363688 	352846 	351457 	362379 	375131 	384136 	376145 	378096 	391967 	400300 	402860 	413203 	413979 	431310 	427427 	430380 	422377 	430632 	437029 	448186 	444574 	457391 	451742 
T,NH3,NFR3_AGR,LI	93 	93 	90 	89 	91 	92 	93 	92 	95 	94 	91 	93 	92 	89 	87 	82 	77 	81 	79 	74 	75 	77 	80 	83 	82 	87 	91 	90 	91 	97 	89 
T,NH3,NFR3_AGR,LT	36642 	33923 	34815 	35328 	35307 	36160 	35884 	33229 	33533 	33796 	34402 	35064 	33720 	35793 	34627 	35473 	33645 	32998 	31949 	30012 	30160 	31669 	34298 	35120 	34873 	33470 	35680 	40912 	53389 	74686 	76700 
T,NH3,NFR3_AGR,LU	5691 	5711 	5814 	5803 	5609 	5558 	5514 	5368 	5340 	5523 	5506 	5388 	5418 	5315 	5144 	5177 	5164 	5048 	5191 	5346 	5437 	5543 	5456 	5487 	5567 	5509 	5352 	5408 	5395 	5570 	5450 
T,NH3,NFR3_AGR,LV	13724 	13814 	13633 	14064 	13906 	13847 	13888 	13561 	13054 	12437 	12482 	12280 	12034 	12424 	12093 	11893 	11844 	12337 	12356 	12339 	10985 	10732 	11846 	12604 	12776 	13150 	13566 	15321 	22759 	29492 	31402 
T,NH3,NFR3_AGR,MT	1319 	1272 	1285 	1245 	1303 	1388 	1413 	1440 	1414 	1403 	1626 	1668 	1730 	1904 	1839 	1807 	1905 	1911 	2064 	2096 	2129 	2024 	2003 	2051 	2038 	2204 	2273 	2301 	2296 	2244 	2203 
T,NH3,NFR3_AGR,NL	108783 	108183 	113789 	116757 	114427 	114612 	111699 	108212 	110551 	116546 	117926 	121173 	124170 	136182 	139639 	136075 	138205 	139886 	143152 	150034 	156914 	178562 	180392 	195725 	205337 	202253 	239100 	279203 	280533 	343851 	330712 
T,NH3,NFR3_AGR,NO	27100 	27146 	29162 	28037 	28228 	28225 	28417 	28583 	28073 	27709 	28120 	28357 	28166 	27774 	27701 	27552 	27401 	27217 	26075 	25734 	25610 	26734 	26231 	25849 	26997 	26652 	26248 	27135 	29133 	28429 	28835 
T,NH3,NFR3_AGR,PL	311488 	301301 	313180 	302181 	287752 	286733 	287243 	291550 	285975 	295626 	297470 	305428 	317180 	329415 	323004 	318600 	300385 	310212 	325533 	330257 	341520 	353658 	358602 	349616 	345855 	366591 	374200 	371129 	402107 	425060 	484487 
T,NH3,NFR3_AGR,PT	52731 	51477 	50424 	49887 	49267 	48500 	47353 	45205 	46301 	47312 	46879 	48277 	49039 	49570 	49178 	49712 	53938 	53065 	56402 	58186 	60471 	58383 	55723 	57038 	57768 	56828 	57494 	57686 	58166 	58691 	58259 
T,NH3,NFR3_AGR,RO	139061 	140895 	142112 	143450 	145099 	148791 	143764 	142300 	139844 	145029 	144762 	161330 	167143 	171008 	170877 	170020 	164237 	156846 	154812 	148625 	152819 	161640 	171604 	175934 	192273 	195879 	193088 	207433 	211017 	242205 	298958 
T,NH3,NFR3_AGR,SE	46853 	46410 	46958 	46907 	46644 	47838 	47587 	47392 	46119 	47049 	46907 	46182 	48697 	48145 	48205 	48820 	50005 	49580 	49841 	50022 	50510 	51588 	53420 	54260 	53634 	53275 	54521 	53523 	52937 	52463 	54283 
T,NH3,NFR3_AGR,SI	16852 	16890 	17163 	17108 	17415 	17196 	16905 	16682 	16927 	16959 	17659 	18251 	17747 	18898 	18339 	18205 	18031 	19104 	20401 	19444 	19724 	18964 	19022 	18774 	18898 	19760 	19712 	19809 	21360 	20411 	21854 
T,NH3,NFR3_AGR,SK	24103 	27627 	28056 	27677 	26014 	25597 	26620 	25594 	25052 	24334 	24400 	24804 	25227 	26491 	25403 	28623 	28286 	31063 	32874 	31630 	30521 	30373 	32096 	38128 	35776 	35523 	37045 	36099 	41261 	48110 	55488 
T,NH3,NFR3_AGR,TR	858132 	785669 	761534 	758285 	722020 	648101 	675952 	658614 	620068 	554600 	530214 	512071 	510868 	544188 	578552 	553434 	537207 	514960 	490505 	500122 	548844 	565372 	547430 	507833 	525057 	508732 	539521 	572122 	726263 	551476 	531712 
T,NH3,NFR3_MNR,AT	60769 	61089 	62227 	63347 	62657 	61736 	61052 	60171 	59957 	59575 	59895 	59996 	58389 	58787 	57425 	57098 	57150 	57593 	57656 	58788 	59200 	60779 	62472 	62332 	62533 	63684 	63632 	64032 	64105 	66663 	66402 
T,NH3,NFR3_MNR,BE	62247 	62223 	63220 	63720 	65497 	65659 	65795 	66555 	67934 	67535 	68957 	68756 	68320 	70504 	73472 	74164 	75408 	80498 	84813 	87281 	89590 	129062 	134211 	132656 	132763 	132346 	129310 	129048 	126495 	125680 	127670 
T,NH3,NFR3_MNR,BG	37014 	36126 	36512 	36525 	37202 	35941 	35205 	34538 	32814 	31682 	31229 	33127 	33438 	34286 	34617 	34908 	35924 	35341 	33594 	32767 	36277 	38669 	35402 	41344 	43890 	43764 	53393 	62131 	91216 	84473 	98021 
T,NH3,NFR3_MNR,CH	49161 	49309 	50173 	50639 	50668 	50811 	51426 	50887 	51402 	51847 	52643 	52764 	54207 	54452 	53681 	53167 	52272 	52467 	53343 	53833 	53274 	53974 	54665 	55108 	57472 	59031 	59524 	60139 	61184 	62156 	63476 
T,NH3,NFR3_MNR,CY	8018 	7702 	7535 	7408 	7307 	7027 	8195 	8022 	8598 	9109 	9216 	9090 	9308 	9737 	9695 	9385 	10218 	10507 	11078 	10444 	9582 	9521 	9577 	9453 	9270 	8859 	8675 	8659 	8409 	7814 	7740 
T,NH3,NFR3_MNR,CZ	59994 	63458 	66321 	71197 	71827 	71508 	64856 	62990 	60975 	61072 	61100 	62697 	67352 	69374 	69393 	70906 	72863 	76044 	77220 	77814 	77237 	80228 	82262 	87444 	90087 	86687 	89826 	100682 	113626 	130147 	138888 
T,NH3,NFR3_MNR,DE	457112 	492262 	510060 	532823 	546646 	549778 	549370 	540160 	539309 	532734 	535431 	539433 	542593 	541663 	536414 	545441 	543129 	558057 	559519 	572821 	566331 	568252 	569896 	563302 	571923 	566419 	570792 	592437 	602113 	605959 	684111 
T,NH3,NFR3_MNR,DK	66375 	64915 	69304 	70248 	67964 	67416 	66178 	65947 	68249 	69647 	72706 	71497 	75495 	76244 	77462 	80926 	84028 	84283 	85664 	87482 	90051 	93298 	97240 	96700 	97525 	100963 	106850 	111679 	115256 	118254 	122196 
T,NH3,NFR3_MNR,EE	8598 	8931 	8970 	9257 	9323 	9758 	9817 	9601 	9555 	9467 	9463 	8785 	9324 	8890 	9396 	8689 	8211 	7914 	7331 	7700 	7410 	7002 	7975 	7803 	7578 	8736 	10231 	10935 	14950 	17285 	19072 
T,NH3,NFR3_MNR,EL	57651 	56776 	56813 	57005 	57567 	57367 	58655 	61764 	60950 	61780 	64951 	59795 	64582 	67802 	66722 	67763 	69931 	68970 	69248 	69525 	70963 	72801 	73857 	74194 	75208 	74893 	71243 	75461 	81312 	83806 	84803 
T,NH3,NFR3_MNR,ES	459788 	445872 	449561 	450540 	433162 	427920 	420173 	400256 	393358 	396075 	407678 	408779 	409886 	452047 	444219 	447896 	478582 	479588 	468909 	480290 	478350 	443772 	440404 	416701 	414437 	381304 	386956 	369494 	391492 	390997 	402127 
T,NH3,NFR3_MNR,EU27_2020	3129183 	3153882 	3229504 	3261498 	3246878 	3229930 	3191745 	3162627 	3175824 	3178106 	3217272 	3258406 	3330807 	3421852 	3396938 	3419134 	3460576 	3508435 	3538881 	3594335 	3622201 	3693790 	3717696 	3716006 	3739195 	3724893 	3799056 	3908862 	4069511 	4285336 	4541381 
T,NH3,NFR3_MNR,FI	27415 	28727 	29217 	29519 	30421 	30719 	32147 	31713 	32203 	32289 	33186 	32669 	32209 	32737 	32941 	33338 	32671 	32612 	31823 	31136 	30953 	30897 	31294 	31878 	30967 	30559 	30701 	29994 	29590 	30547 	32475 
