freq,unit,na_item,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CLV10_MEUR,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5302.8 	5140.1 	5216.9 	5332.8 	5582.1 	5845.8 	6146.1 	6544.0 	6902.0 	6877.3 	7108.3 	7274.6 	7241.4 	7453.2 	7723.8 	8021.6 	8250.0 	8339.3 	8579.5 	8915.0 	8497.0 	8831.1 p	9020.6 e
A,CLV10_MEUR,B1GQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5363.3 	5300.3 	5436.3 	5657.8 	5665.7 	5857.4 	6004.5 	6291.1 	6531.9 	6457.8 	6815.8 	6847.6 	7129.6 	7519.8 	8093.9 	8871.5 	9171.5 	10168.4 	10819.5 	11560.1 	10566.4 	11801.8 	12637.4 
A,CLV10_MEUR,B1GQ,NL	: 	: 	: 	: 	: 	451436.5 	467231.1 	487457.8 	510192.5 	535875.8 	558359.2 	571352.0 	572593.4 	573484.6 	584868.0 	596862.9 	617520.2 	640818.3 	654726.1 	630718.1 	639187.0 	649102.0 	642414.0 	641577.7 	650709.9 	663458.4 	677999.5 	697735.4 	714208.3 	728175.3 	699877.8 	733914.4 p	766780.9 p
A,CLV10_MEUR,B1GQ,NO	193680.5 	199654.5 	206791.1 	212674.6 	223425.9 	232710.7 	244411.3 	257327.4 	264194.6 	269668.9 	278619.0 	284378.5 	288295.9 	291020.1 	302703.4 	310831.3 	318482.4 	327763.0 	329342.6 	322952.1 	325493.9 	329092.8 	338037.4 	341472.5 	348466.3 	354938.5 	359072.5 	367919.2 	370969.0 	375137.7 	370342.8 	384780.3 	397390.8 
A,CLV10_MEUR,B1GQ,PL	: 	: 	: 	: 	: 	190628.0 	202285.8 	215331.2 	225323.9 	235812.5 	246567.8 	249670.9 	254753.8 	263666.3 	276804.3 	286511.4 	304077.8 	325550.3 	339223.3 	348830.8 	359067.8 	377172.5 	383000.6 	386281.2 	401102.9 	418684.3 	431050.2 	453206.2 	480150.2 	501517.0 	491385.9 	525463.6 	552442.4 
A,CLV10_MEUR,B1GQ,PT	: 	: 	: 	: 	: 	136712.2 	141502.9 	147730.3 	154833.1 	160881.8 	167021.3 	170267.6 	171580.3 	169983.7 	173024.2 	174377.0 	177210.7 	181652.6 	182232.6 	176543.1 	179610.8 	176564.3 	169400.6 	167837.6 	169167.2 	172198.7 	175676.3 	181836.1 	187017.2 	192034.4 	176094.6 	185784.6 p	198208.7 p
A,CLV10_MEUR,B1GQ,RO	: 	: 	: 	: 	: 	85776.1 	89128.0 	84806.1 	83084.7 	82771.8 	84809.0 	89234.5 	94323.5 	96531.7 	106598.2 	111574.3 	120532.4 	129251.5 	141281.6 	133486.5 	128278.9 	134073.4 	136654.3 	137023.2 	142669.4 	147178.5 	151384.2 	163792.4 	173667.5 	180359.2 	173726.5 	183790.9 p	192509.9 p
A,CLV10_MEUR,B1GQ,RS	: 	: 	: 	: 	: 	17624.5 	18728.5 	20078.4 	20749.2 	18793.7 	19946.1 	21318.2 	22678.4 	23673.4 	25810.7 	27238.1 	28629.4 	30473.0 	32196.4 	31316.9 	31545.8 	32188.2 	31968.8 	32893.6 	32370.7 	32955.4 	34055.6 	34771.2 	36334.2 	37908.1 	37565.7 	40401.9 	41311.5 p
A,CLV10_MEUR,B1GQ,SE	: 	: 	: 	233869.3 	243060.3 	252625.2 	256615.3 	264494.7 	275899.3 	287617.3 	301326.1 	305693.8 	312409.7 	319625.7 	333487.4 	343021.2 	359015.5 	371362.8 	369689.6 	353645.9 	374695.2 	386668.0 	384393.2 	388959.0 	399296.7 	417222.3 	425861.2 	436797.0 	445314.7 	454159.5 	444303.3 	471614.7 	484972.5 
A,CLV10_MEUR,B1GQ,SI	: 	: 	: 	: 	: 	22749.9 	23478.6 	24664.2 	25473.0 	26831.4 	27816.8 	28711.5 	29718.0 	30597.7 	31931.6 	33144.3 	35048.9 	37495.4 	38811.4 	35881.7 	36363.9 	36677.1 	35709.1 	35341.5 	36319.8 	37122.5 	38307.4 	40152.1 	41940.6 	43388.0 	41513.0 	44921.7 	47336.0 
