Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT003__Befoerderte_Gueter__t;GUT004__Befoerderungsleistung__tkm
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;58225509;23159485158
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;15512176;10269362502
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;366140244;110064799569
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;247471748;57585460812
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;45529538;19845345592
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;62919401;23727374271
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;17817087;11454374098
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;373737774;112612554773
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;238687142;56387421464
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;45888370;20336610800
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;61888608;23886812686
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;18538438;12017962730
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;365002558;112628807680
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;241670987;59433486987
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;47499943;21276569945
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;57982574;22877384907
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;20160352;13044678968
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;367313856;116632120807
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;231204730;55548551284
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;45542560;20646630175
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;53751664;21375502565
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;19605999;12802093602
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;350104953;110372777626
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;221984082;54190284607
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;43315437;19565673715
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;50642470;20348355311
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;18665360;11957226436
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;334607349;106061540069
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;232236035;59827232196
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;44646732;20317377483
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;50345593;21449450028
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;14697028;9073819239
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;341925388;110667878946
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;225022756;57921014298
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;45912649;22061421673
