Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT005__Befoerderte_Guetermenge__1000_t;GUT004__Befoerderungsleistung__Mill._Tkm
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;8877;1688
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2720163;285207
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2607076;225467
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;104517;58138
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;55101;28440
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;42660;23734
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;8571;1602
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2743858;290918
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2618830;227197
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;116050;62155
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;61659;31692
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;47425;24883
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;8978;1565
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2767167;303744
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2625007;232295
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;130110;69504
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;70367;34796
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;52225;28142
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;12051;1944
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2764983;310114
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2612641;237609
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;135345;70248
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;73185;34847
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;53001;27716
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;16997;2257
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2919325;330008
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2758467;251372
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;146047;76363
